WKT,Join_Count,TARGET_FID,OPEN_LAND,RESIDENTIA,COMMERCIAL,COMMERC_01,INDUSTRIAL
"MULTIPOLYGON (((272157.6981 2099848.362,271957.6981 2099848.362,271857.6981 2100021.5671,271957.6981 2100194.7721,272157.6981 2100194.7721,272257.6981 2100021.5671,272157.6981 2099848.362)))","2","929",63500.00000000000,131950.00000000000,170800.00000000000,199850.00000000000,131950.00000000000
"MULTIPOLYGON (((273057.6981 2100367.9772,272857.6981 2100367.9772,272757.6981 2100541.1823,272857.6981 2100714.3874,273057.6981 2100714.3874,273157.6981 2100541.1823,273057.6981 2100367.9772)))","4","930",48975.00000000000,123975.00000000000,169600.00000000000,185350.00000000000,123975.00000000000
"MULTIPOLYGON (((273357.6981 2100194.7721,273157.6981 2100194.7721,273057.6981 2100367.9772,273157.6981 2100541.1823,273357.6981 2100541.1823,273457.6981 2100367.9772,273357.6981 2100194.7721)))","3","931",27366.66666670000,80833.33333330000,126200.00000000000,135933.33333299999,96700.00000000000
"MULTIPOLYGON (((272757.6981 2100194.7721,272557.6981 2100194.7721,272457.6981 2100367.9772,272557.6981 2100541.1823,272757.6981 2100541.1823,272857.6981 2100367.9772,272757.6981 2100194.7721)))","2","932",41300.00000000000,110300.00000000000,156850.00000000000,171000.00000000000,110300.00000000000
"MULTIPOLYGON (((273357.6981 2099848.362,273157.6981 2099848.362,273057.6981 2100021.5671,273157.6981 2100194.7721,273357.6981 2100194.7721,273457.6981 2100021.5671,273357.6981 2099848.362)))","4","933",26675.00000000000,78675.00000000000,120725.00000000000,132100.00000000000,90675.00000000000
"MULTIPOLYGON (((272757.6981 2099848.362,272557.6981 2099848.362,272457.6981 2100021.5671,272557.6981 2100194.7721,272757.6981 2100194.7721,272857.6981 2100021.5671,272757.6981 2099848.362)))","1","934",48500.00000000000,119400.00000000000,168500.00000000000,184100.00000000000,119400.00000000000
"MULTIPOLYGON (((273657.6981 2100367.9772,273457.6981 2100367.9772,273357.6981 2100541.1823,273457.6981 2100714.3874,273657.6981 2100714.3874,273757.6981 2100541.1823,273657.6981 2100367.9772)))","3","935",46466.66666670000,117400.00000000000,168600.00000000000,181200.00000000000,133266.66666700001
"MULTIPOLYGON (((273657.6981 2100021.5671,273457.6981 2100021.5671,273357.6981 2100194.7721,273457.6981 2100367.9772,273657.6981 2100367.9772,273757.6981 2100194.7721,273657.6981 2100021.5671)))","2","936",25350.00000000000,74550.00000000000,122700.00000000000,132400.00000000000,98550.00000000000
"MULTIPOLYGON (((273957.6981 2099848.362,273757.6981 2099848.362,273657.6981 2100021.5671,273757.6981 2100194.7721,273957.6981 2100194.7721,274057.6981 2100021.5671,273957.6981 2099848.362)))","2","937",25350.00000000000,74550.00000000000,122700.00000000000,132400.00000000000,98550.00000000000
"MULTIPOLYGON (((274257.6981 2100367.9772,274057.6981 2100367.9772,273957.6981 2100541.1823,274057.6981 2100714.3874,274257.6981 2100714.3874,274357.6981 2100541.1823,274257.6981 2100367.9772)))","1","938",26100.00000000000,76900.00000000000,141100.00000000000,144200.00000000000,124500.00000000000
"MULTIPOLYGON (((274257.6981 2100021.5671,274057.6981 2100021.5671,273957.6981 2100194.7721,274057.6981 2100367.9772,274257.6981 2100367.9772,274357.6981 2100194.7721,274257.6981 2100021.5671)))","1","939",26100.00000000000,76900.00000000000,141100.00000000000,144200.00000000000,124500.00000000000
"MULTIPOLYGON (((274557.6981 2099848.362,274357.6981 2099848.362,274257.6981 2100021.5671,274357.6981 2100194.7721,274557.6981 2100194.7721,274657.6981 2100021.5671,274557.6981 2099848.362)))","1","940",26100.00000000000,76900.00000000000,141100.00000000000,144200.00000000000,124500.00000000000
"MULTIPOLYGON (((274857.6981 2100367.9772,274657.6981 2100367.9772,274557.6981 2100541.1823,274657.6981 2100714.3874,274857.6981 2100714.3874,274957.6981 2100541.1823,274857.6981 2100367.9772)))","1","941",26100.00000000000,76900.00000000000,141100.00000000000,144200.00000000000,124500.00000000000
